@relation bloodtrans_predicted

@attribute Recency(months) numeric
@attribute Frequency(times) numeric
@attribute Monetary(c.c.blood) numeric
@attribute Time(months) numeric
@attribute donatedmarch2007 numeric
@attribute predictedclass {BIG,SMALL}
@attribute class {BIG,SMALL}

@data
7,2,500,16,0,BIG,?
4,5,1250,58,0,SMALL,?
4,5,1250,58,0,SMALL,?
4,4,1000,46,0,SMALL,?
14,13,3250,57,0,SMALL,?
4,3,750,34,0,SMALL,?
14,18,4500,78,0,SMALL,?
11,8,2000,48,0,SMALL,?
14,16,4000,70,0,SMALL,?
14,4,1000,22,1,SMALL,?
14,5,1250,26,0,SMALL,?
8,2,500,16,0,BIG,?
11,5,1250,33,0,SMALL,?
11,2,500,14,0,SMALL,?
4,2,500,23,0,BIG,?
9,2,500,16,1,BIG,?
14,5,1250,28,1,SMALL,?
14,3,750,19,1,SMALL,?
14,4,1000,23,1,SMALL,?
16,12,3000,50,0,SMALL,?
11,4,1000,28,0,SMALL,?
11,5,1250,35,0,SMALL,?
11,5,1250,35,0,SMALL,?
2,4,1000,70,0,SMALL,?
14,5,1250,28,0,SMALL,?
14,2,500,14,0,SMALL,?
14,2,500,14,0,SMALL,?
14,2,500,14,0,SMALL,?
14,2,500,14,0,SMALL,?
14,2,500,14,0,SMALL,?
14,2,500,14,0,SMALL,?
2,3,750,52,0,SMALL,?
14,6,1500,34,0,SMALL,?
11,5,1250,37,1,SMALL,?
4,5,1250,74,0,SMALL,?
11,3,750,23,0,SMALL,?
16,4,1000,23,0,SMALL,?
16,3,750,19,0,SMALL,?
11,5,1250,38,0,SMALL,?
11,2,500,16,0,SMALL,?
12,9,2250,60,0,SMALL,?
9,1,250,9,0,BIG,?
9,1,250,9,0,BIG,?
4,2,500,29,0,SMALL,?
11,2,500,17,0,SMALL,?
14,4,1000,26,0,SMALL,?
11,9,2250,72,1,SMALL,?
11,5,1250,41,0,SMALL,?
15,16,4000,82,0,SMALL,?
9,5,1250,51,1,SMALL,?
11,4,1000,34,0,SMALL,?
14,8,2000,50,1,SMALL,?
16,7,1750,38,0,SMALL,?
14,2,500,16,0,SMALL,?
2,2,500,41,0,SMALL,?
14,16,4000,98,0,SMALL,?
14,4,1000,28,1,SMALL,?
16,7,1750,39,0,SMALL,?
14,7,1750,47,0,SMALL,?
16,6,1500,35,0,SMALL,?
16,6,1500,35,1,SMALL,?
11,7,1750,62,1,SMALL,?
16,2,500,16,0,SMALL,?
16,3,750,21,1,SMALL,?
11,3,750,28,0,SMALL,?
11,7,1750,64,0,SMALL,?
11,1,250,11,1,SMALL,?
9,3,750,34,0,SMALL,?
14,4,1000,30,0,SMALL,?
23,38,9500,98,0,SMALL,?
11,6,1500,58,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,2,500,21,0,SMALL,?
11,5,1250,50,0,SMALL,?
11,2,500,21,0,SMALL,?
16,4,1000,28,0,SMALL,?
4,2,500,41,0,SMALL,?
16,6,1500,40,0,SMALL,?
14,3,750,26,0,SMALL,?
9,2,500,26,0,SMALL,?
21,16,4000,64,0,SMALL,?
14,6,1500,51,0,SMALL,?
11,2,500,24,0,SMALL,?
4,3,750,71,0,SMALL,?
21,13,3250,57,0,SMALL,?
11,6,1500,71,0,SMALL,?
14,2,500,21,1,SMALL,?
23,15,3750,57,0,SMALL,?
14,4,1000,38,0,SMALL,?
11,2,500,26,0,SMALL,?
16,5,1250,40,1,SMALL,?
4,2,500,51,1,SMALL,?
14,3,750,31,0,SMALL,?
4,2,500,52,0,SMALL,?
9,4,1000,65,0,SMALL,?
14,4,1000,40,0,SMALL,?
11,3,750,40,1,SMALL,?
14,5,1250,50,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,7,1750,72,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
9,3,750,52,0,SMALL,?
14,7,1750,73,0,SMALL,?
11,4,1000,58,0,SMALL,?
11,4,1000,59,0,SMALL,?
4,2,500,59,0,SMALL,?
11,4,1000,61,0,SMALL,?
16,4,1000,40,0,SMALL,?
16,10,2500,89,0,SMALL,?
21,2,500,21,1,SMALL,?
21,3,750,26,0,SMALL,?
16,8,2000,76,0,SMALL,?
21,3,750,26,1,SMALL,?
18,2,500,23,0,SMALL,?
23,5,1250,33,0,SMALL,?
23,8,2000,46,0,SMALL,?
16,3,750,34,0,SMALL,?
14,5,1250,64,0,SMALL,?
14,3,750,41,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,4,1000,45,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,2,500,26,0,SMALL,?
21,2,500,23,0,SMALL,?
16,2,500,27,0,SMALL,?
21,2,500,23,0,SMALL,?
21,2,500,23,0,SMALL,?
14,4,1000,57,0,SMALL,?
16,5,1250,60,0,SMALL,?
23,2,500,23,0,SMALL,?
14,5,1250,74,0,SMALL,?
23,3,750,28,0,SMALL,?
16,3,750,40,0,SMALL,?
9,2,500,52,0,SMALL,?
9,2,500,52,0,SMALL,?
16,7,1750,87,1,SMALL,?
14,4,1000,64,0,SMALL,?
14,2,500,35,0,SMALL,?
16,7,1750,93,0,SMALL,?
21,2,500,25,0,SMALL,?
14,3,750,52,0,SMALL,?
23,14,3500,93,0,SMALL,?
18,8,2000,95,0,SMALL,?
16,3,750,46,0,SMALL,?
11,3,750,76,0,SMALL,?
11,2,500,52,0,SMALL,?
11,3,750,76,0,SMALL,?
23,12,3000,86,0,SMALL,?
21,3,750,35,0,SMALL,?
23,2,500,26,0,SMALL,?
23,2,500,26,0,SMALL,?
23,8,2000,64,0,SMALL,?
16,3,750,50,0,SMALL,?
23,3,750,33,0,SMALL,?
21,3,750,38,0,SMALL,?
23,2,500,28,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,1,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
21,5,1250,60,0,SMALL,?
23,4,1000,45,0,SMALL,?
21,4,1000,52,0,SMALL,?
22,1,250,22,1,SMALL,?
11,2,500,70,0,SMALL,?
23,5,1250,58,0,SMALL,?
23,3,750,40,0,SMALL,?
23,3,750,41,0,SMALL,?
14,3,750,83,0,SMALL,?
21,2,500,35,0,SMALL,?
26,5,1250,49,1,SMALL,?
23,6,1500,70,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,4,1000,53,0,SMALL,?
21,6,1500,86,0,SMALL,?
23,3,750,48,0,SMALL,?
21,2,500,41,0,SMALL,?
21,3,750,64,0,SMALL,?
16,2,500,70,0,SMALL,?
21,3,750,70,0,SMALL,?
23,4,1000,87,0,SMALL,?
23,3,750,89,0,SMALL,?
23,2,500,87,0,SMALL,?
35,3,750,64,0,SMALL,?
38,1,250,38,0,SMALL,?
38,1,250,38,0,SMALL,?
40,1,250,40,0,SMALL,?
74,1,250,74,0,SMALL,?
2,43,10750,86,1,BIG,?
6,22,5500,28,1,BIG,?
2,34,8500,77,1,BIG,?
2,44,11000,98,0,BIG,?
0,26,6500,76,1,BIG,?
2,41,10250,98,1,BIG,?
3,21,5250,42,1,BIG,?
2,11,2750,23,0,BIG,?
2,21,5250,52,1,BIG,?
2,13,3250,32,1,BIG,?
4,4,1000,4,1,BIG,?
2,11,2750,26,0,BIG,?
2,11,2750,28,0,BIG,?
3,14,3500,35,0,BIG,?
4,16,4000,38,1,BIG,?
4,6,1500,14,0,BIG,?
3,5,1250,12,1,BIG,?
4,33,8250,98,1,SMALL,?
3,10,2500,33,1,BIG,?
4,10,2500,28,1,BIG,?
2,11,2750,40,1,BIG,?
2,11,2750,41,1,BIG,?
4,13,3250,39,1,BIG,?
1,10,2500,43,1,BIG,?
4,9,2250,28,0,BIG,?
2,4,1000,11,0,BIG,?
2,5,1250,16,1,BIG,?
2,15,3750,64,0,SMALL,?
5,24,6000,79,0,SMALL,?
2,6,1500,22,1,BIG,?
4,5,1250,16,1,BIG,?
2,4,1000,14,1,BIG,?
4,8,2000,28,0,BIG,?
2,4,1000,14,0,BIG,?
2,6,1500,26,0,BIG,?
4,5,1250,16,1,BIG,?
2,7,1750,32,1,BIG,?
2,6,1500,26,1,BIG,?
2,8,2000,38,1,BIG,?
2,2,500,4,1,BIG,?
2,6,1500,28,1,BIG,?
2,10,2500,52,0,SMALL,?
4,16,4000,70,1,SMALL,?
4,2,500,4,1,BIG,?
1,14,3500,95,0,SMALL,?
4,2,500,4,1,BIG,?
7,14,3500,48,0,SMALL,?
2,3,750,11,0,BIG,?
2,12,3000,70,1,SMALL,?
4,7,1750,32,1,BIG,?
4,4,1000,16,0,BIG,?
2,6,1500,35,1,BIG,?
4,6,1500,28,1,BIG,?
2,3,750,14,0,BIG,?
2,4,1000,23,0,BIG,?
4,4,1000,18,0,BIG,?
5,6,1500,28,0,BIG,?
4,6,1500,30,0,BIG,?
14,5,1250,14,0,SMALL,?
3,8,2000,50,0,SMALL,?
4,11,2750,64,1,SMALL,?
4,9,2250,52,0,SMALL,?
4,16,4000,98,1,SMALL,?
7,10,2500,47,0,SMALL,?
4,14,3500,86,0,SMALL,?
2,9,2250,75,0,SMALL,?
4,6,1500,35,0,SMALL,?
4,9,2250,55,0,SMALL,?
4,6,1500,35,1,SMALL,?
2,6,1500,45,0,SMALL,?
2,6,1500,47,0,SMALL,?
4,2,500,9,0,BIG,?
2,2,500,11,1,BIG,?
2,2,500,11,0,BIG,?
2,2,500,11,1,BIG,?
4,6,1500,38,1,SMALL,?
3,4,1000,29,1,BIG,?
9,9,2250,38,0,SMALL,?
11,5,1250,18,0,SMALL,?
2,3,750,21,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,1,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,1,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
2,1,250,2,0,BIG,?
11,11,2750,38,0,SMALL,?
2,3,750,22,0,BIG,?
9,11,2750,49,1,SMALL,?
5,11,2750,75,0,SMALL,?
3,5,1250,38,0,SMALL,?
3,1,250,3,1,BIG,?
4,6,1500,43,0,SMALL,?
2,3,750,24,0,BIG,?
12,11,2750,39,0,SMALL,?
2,2,500,14,0,BIG,?
4,6,1500,46,0,SMALL,?
9,3,750,14,0,BIG,?
14,8,2000,26,0,SMALL,?
4,2,500,13,0,BIG,?
4,11,2750,95,0,SMALL,?
2,7,1750,77,0,SMALL,?
2,7,1750,77,0,SMALL,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,0,BIG,?
4,1,250,4,1,BIG,?
4,1,250,4,0,BIG,?
4,7,1750,62,0,SMALL,?
4,1,250,4,0,BIG,?
4,4,1000,34,1,SMALL,?
11,6,1500,28,0,SMALL,?
13,3,750,14,1,SMALL,?
7,5,1250,35,0,SMALL,?
9,9,2250,54,0,SMALL,?
11,2,500,11,0,BIG,?
2,5,1250,63,0,SMALL,?
7,11,2750,89,0,SMALL,?
8,9,2250,64,0,SMALL,?
2,2,500,22,0,BIG,?
6,3,750,26,0,SMALL,?
12,15,3750,71,0,SMALL,?
13,3,750,16,0,SMALL,?
11,16,4000,89,0,SMALL,?
4,5,1250,58,0,SMALL,?
14,7,1750,35,0,SMALL,?
11,4,1000,27,0,SMALL,?
7,9,2250,89,1,SMALL,?
11,8,2000,52,1,SMALL,?
7,5,1250,52,0,SMALL,?
11,6,1500,41,0,SMALL,?
10,5,1250,38,0,SMALL,?
14,2,500,14,1,SMALL,?
14,2,500,14,0,SMALL,?
14,2,500,14,0,SMALL,?
2,2,500,33,0,SMALL,?
11,3,750,23,0,SMALL,?
14,8,2000,46,0,SMALL,?
9,1,250,9,0,BIG,?
16,5,1250,27,0,SMALL,?
14,4,1000,26,0,SMALL,?
4,2,500,30,0,SMALL,?
14,3,750,21,0,SMALL,?
16,16,4000,77,0,SMALL,?
4,2,500,31,0,SMALL,?
14,8,2000,50,0,SMALL,?
11,3,750,26,0,SMALL,?
14,7,1750,45,0,SMALL,?
15,5,1250,33,0,SMALL,?
16,2,500,16,0,SMALL,?
16,3,750,21,0,SMALL,?
11,8,2000,72,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,0,SMALL,?
11,1,250,11,1,SMALL,?
11,1,250,11,0,SMALL,?
2,3,750,75,1,SMALL,?
2,3,750,77,0,SMALL,?
16,4,1000,28,0,SMALL,?
16,15,3750,87,0,SMALL,?
16,14,3500,83,0,SMALL,?
16,10,2500,62,0,SMALL,?
16,3,750,23,0,SMALL,?
14,3,750,26,0,SMALL,?
23,19,4750,62,0,SMALL,?
11,7,1750,75,0,SMALL,?
14,3,750,28,0,SMALL,?
20,14,3500,69,1,SMALL,?
4,2,500,46,0,SMALL,?
11,2,500,25,0,SMALL,?
11,3,750,37,0,SMALL,?
16,4,1000,33,0,SMALL,?
21,7,1750,38,0,SMALL,?
13,7,1750,76,0,SMALL,?
16,6,1500,50,0,SMALL,?
14,3,750,33,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
14,1,250,14,0,SMALL,?
17,7,1750,58,1,SMALL,?
14,3,750,35,0,SMALL,?
14,3,750,35,0,SMALL,?
16,7,1750,64,0,SMALL,?
21,2,500,21,0,SMALL,?
16,3,750,35,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
16,1,250,16,0,SMALL,?
14,2,500,29,0,SMALL,?
11,4,1000,74,0,SMALL,?
11,2,500,38,1,SMALL,?
21,6,1500,48,0,SMALL,?
23,2,500,23,0,SMALL,?
23,6,1500,45,0,SMALL,?
14,2,500,35,1,SMALL,?
16,6,1500,81,0,SMALL,?
16,4,1000,58,0,SMALL,?
16,5,1250,71,0,SMALL,?
21,2,500,26,0,SMALL,?
21,3,750,35,0,SMALL,?
21,3,750,35,0,SMALL,?
23,8,2000,69,0,SMALL,?
21,3,750,38,0,SMALL,?
23,3,750,35,0,SMALL,?
21,3,750,40,0,SMALL,?
23,2,500,28,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
25,6,1500,50,0,SMALL,?
21,1,250,21,0,SMALL,?
21,1,250,21,0,SMALL,?
23,3,750,39,0,SMALL,?
21,2,500,33,0,SMALL,?
14,3,750,79,0,SMALL,?
23,1,250,23,1,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,1,250,23,0,SMALL,?
23,4,1000,52,0,SMALL,?
23,1,250,23,0,SMALL,?
23,7,1750,88,0,SMALL,?
16,3,750,86,0,SMALL,?
23,2,500,38,0,SMALL,?
21,2,500,52,0,SMALL,?
23,3,750,62,0,SMALL,?
39,1,250,39,0,SMALL,?
72,1,250,72,0,SMALL,?
